From,To
0,1
1,0
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
1,12
1,13
1,14
1,15
1,16
1,17
1,18
1,19
1,20
1,21
1,22
1,23
1,24
1,25
1,26
1,27
1,28
1,29
1,30
1,31
1,32
1,33
1,34
1,35
1,36
1,37
1,38
1,39
1,40
1,41
1,42
1,43
1,44
1,45
1,46
1,47
1,48
1,49
1,50
1,51
1,52
1,53
1,54
1,55
1,56
1,57
1,58
1,59
1,60
1,61
1,62
1,63
1,64
1,65
1,66
1,67
1,68
1,69
1,70
2,1
3,1
3,4
3,6
4,1
4,3
4,49
4,50
4,74
5,1
5,56
5,75
6,1
6,3
6,7
6,50
6,74
7,1
7,6
7,49
7,50
7,74
8,1
9,1
9,56
10,1
10,11
10,12
10,13
11,1
11,10
11,12
11,13
11,74
12,1
12,10
12,11
12,13
12,74
13,1
13,10
13,11
13,12
13,56
13,74
13,78
14,1
15,1
15,56
16,1
16,56
17,1
18,1
19,1
20,1
21,1
21,78
22,1
23,1
24,1
25,1
25,74
26,1
27,1
27,56
27,72
27,74
27,75
27,76
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
39,56
40,1
41,1
42,1
43,1
44,1
44,56
45,1
45,53
45,56
45,75
46,1
46,53
46,56
46,75
47,1
48,1
49,1
49,4
49,7
49,50
49,74
50,1
50,4
50,6
50,7
50,49
51,1
52,1
53,1
53,45
53,46
53,54
53,55
53,56
53,74
53,75
53,76
53,78
53,79
54,1
54,53
54,55
54,56
54,73
54,74
54,75
54,76
54,77
54,78
54,79
55,1
55,53
55,54
55,56
56,1
56,5
56,9
56,13
56,15
56,16
56,27
56,39
56,44
56,45
56,46
56,53
56,54
56,55
56,73
56,74
56,75
56,76
56,78
56,79
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,72
72,27
72,71
72,74
72,76
72,77
73,54
73,56
73,74
73,75
73,76
73,78
74,4
74,6
74,7
74,11
74,12
74,13
74,25
74,27
74,49
74,53
74,54
74,56
74,72
74,73
74,75
74,76
75,5
75,27
75,45
75,46
75,53
75,54
75,56
75,73
75,74
75,76
75,78
76,27
76,53
76,54
76,56
76,72
76,73
76,74
76,75
76,78
77,54
77,72
78,13
78,21
78,53
78,54
78,56
78,73
78,75
78,76
78,79
79,53
79,54
79,56
79,78
